Physical Activity Variable,Motivation Variable,Correlation,P-value
C4H73CFD = How many times per day do you do exercise/activity C?,C4Q1A = MASQ Felt sad,0.41743719442873584,0.0
C4H73CI = What is the intensity of exercise/activity C?,C4Q1A = MASQ Felt sad,0.40884730541315223,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q1A = MASQ Felt sad,0.40867554975411147,0.0
C4H73CC = Exercise/Activity C – Coded,C4Q1A = MASQ Felt sad,0.38411549666608524,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.37762022452970756,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q1FF = MASQ Was unable to relax,0.36590012007197975,0.0
C4H73CFW = How many days per week do you do exercise/activity C?,C4Q1A = MASQ Felt sad,0.3645841258548728,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.36043192153424614,0.0
C4H73CFD = How many times per day do you do exercise/activity C?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.3582709301830308,0.0
C4H73CI = What is the intensity of exercise/activity C?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.3563214066295874,0.0
C4H73CFD = How many times per day do you do exercise/activity C?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.3425857114492346,0.0
C4H73CC = Exercise/Activity C – Coded,C4Q1FF = MASQ Was unable to relax,0.33143679768884743,0.0
C4H73CFD = How many times per day do you do exercise/activity C?,C4Q1FF = MASQ Was unable to relax,0.33091984301346744,0.0
C4H73CI = What is the intensity of exercise/activity C?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.32919264470140575,2.007180234201189e-307
C4H73CC = Exercise/Activity C – Coded,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.32908915288939095,3.205615384450228e-307
C4H73CI = What is the intensity of exercise/activity C?,C4Q1FF = MASQ Was unable to relax,0.32614748056478887,1.7870683544211635e-301
C4H73CC = Exercise/Activity C – Coded,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.320294954841613,3.12784460130294e-290
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q1L = MASQ Felt depressed,0.31742829018794794,8.150188248179952e-285
C4H73CFW = How many days per week do you do exercise/activity C?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.3140919765913209,1.3789061008191422e-278
C4H73CFD = How many times per day do you do exercise/activity C?,C4Q1L = MASQ Felt depressed,0.29795240346463725,1.4095381910923614e-249
C4H73CC = Exercise/Activity C – Coded,C4Q1L = MASQ Felt depressed,0.2966040741959928,3.087789677920138e-247
C4H73CFW = How many days per week do you do exercise/activity C?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.2954693827508258,2.815586469857432e-245
C4H73CFW = How many days per week do you do exercise/activity C?,C4Q1FF = MASQ Was unable to relax,0.29412524509495486,5.750488336457041e-243
C4H73CI = What is the intensity of exercise/activity C?,C4Q1L = MASQ Felt depressed,0.2940480667466384,7.797751162417262e-243
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q3R = CESD I felt sad,0.2925513044752169,2.811300640400623e-240
C4H73CI = What is the intensity of exercise/activity C?,C4Q3R = CESD I felt sad,0.2851459084967226,7.464421799310853e-228
C4H73CFD = How many times per day do you do exercise/activity C?,C4Q3R = CESD I felt sad,0.2833883766847874,5.842631549537098e-225
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4Q1A = MASQ Felt sad,0.2831602409141378,1.382528000745183e-224
C4H73BFD = How many times per day do you do exercise/activity B?,C4Q1A = MASQ Felt sad,0.27911247735943967,5.236593253159526e-218
C4H73AI = What is the intensity of exercise/activity A?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.27666291079214916,4.4298572209343976e-214
C4H73AS = Seasonal exercise/activity A?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.27233066932245487,3.116999133007784e-207
