Variable 1,Variable 2,Spearman Correlation,P-value,N
C4H73AC = Exercise/Activity A – Coded,C4H73AS = Seasonal exercise/activity A?,0.6238421129013203,0.0,6990
C4H73AC = Exercise/Activity A – Coded,C4H73AFD = How many times per day do you do exercise/activity A?,0.6067921103675891,0.0,6990
C4H73AC = Exercise/Activity A – Coded,C4H73AFW = How many days per week do you do exercise/activity A?,0.6596122475467059,0.0,6990
C4H73AC = Exercise/Activity A – Coded,C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,0.6348503405149309,0.0,6990
C4H73AC = Exercise/Activity A – Coded,C4H73AI = What is the intensity of exercise/activity A?,0.5929439875672161,0.0,6990
C4H73AC = Exercise/Activity A – Coded,C4H73BC = Exercise/Activity B – Coded,0.3930660444535375,5.2270974696493815e-257,6990
C4H73AC = Exercise/Activity A – Coded,C4H73BS = Seasonal exercise/activity B?,0.4936229758905507,0.0,6990
C4H73AC = Exercise/Activity A – Coded,C4H73BFD = How many times per day do you do exercise/activity B?,0.3400096601203443,1.0646042694839072e-188,6990
C4H73AC = Exercise/Activity A – Coded,C4H73BFW = How many days per week do you do exercise/activity B?,0.13328155850800003,4.5062923592273e-29,6990
C4H73AC = Exercise/Activity A – Coded,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.5107480923152177,0.0,6990
C4H73AC = Exercise/Activity A – Coded,C4H73BI = What is the intensity of exercise/activity B?,0.5159619561066037,0.0,6990
C4H73AC = Exercise/Activity A – Coded,C4H73CC = Exercise/Activity C – Coded,0.07502269244075511,3.383698178183483e-10,6990
C4H73AC = Exercise/Activity A – Coded,C4H73CS = Seasonal exercise/activity C?,0.19821760495493398,7.215884290225512e-63,6990
C4H73AC = Exercise/Activity A – Coded,C4H73CFD = How many times per day do you do exercise/activity C?,0.05090948943277764,2.0594129113921943e-05,6990
C4H73AC = Exercise/Activity A – Coded,C4H73CFW = How many days per week do you do exercise/activity C?,0.08189837241373693,7.007092660274865e-12,6990
C4H73AC = Exercise/Activity A – Coded,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.17661147577372532,4.425954075847924e-50,6990
