,C4H73AC = Exercise/Activity A – Coded,C4H73AS = Seasonal exercise/activity A?,C4H73AFD = How many times per day do you do exercise/activity A?,C4H73AFW = How many days per week do you do exercise/activity A?,C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73AI = What is the intensity of exercise/activity A?,C4H73BC = Exercise/Activity B – Coded,C4H73BS = Seasonal exercise/activity B?,C4H73BFD = How many times per day do you do exercise/activity B?,C4H73BFW = How many days per week do you do exercise/activity B?,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4H73BI = What is the intensity of exercise/activity B?,C4H73CC = Exercise/Activity C – Coded,C4H73CS = Seasonal exercise/activity C?,C4H73CFD = How many times per day do you do exercise/activity C?,C4H73CFW = How many days per week do you do exercise/activity C?,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4H73CI = What is the intensity of exercise/activity C?,C4H73DC = Exercise/Activity D – Coded,C4H73DS = Seasonal exercise/activity D?,C4H73DFD = How many times per day do you do exercise/activity D?,C4H73DFW = How many days per week do you do exercise/activity D?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4H73DI = What is the intensity of exercise/activity D?,C4H73EC = Exercise/Activity E – Coded,C4H73ES = Seasonal exercise/activity E?,C4H73EFD = How many times per day do you do exercise/activity E?,C4H73EFW = How many days per week do you do exercise/activity E?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4H73EI = What is the intensity of exercise/activity E?,C4H73FC = Exercise/Activity F – Coded,C4H73FS = Seasonal exercise/activity F?,C4H73FFD = How many times per day do you do exercise/activity F?,C4H73FFW = How many days per week do you do exercise/activity F?,C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4H73FI = What is the intensity of exercise/activity F?,C4H73GC = Exercise/Activity G – Coded,C4H73GS = Seasonal exercise/activity G?,C4H73GFD = How many times per day do you do exercise/activity G?,C4H73GFW = How many days per week do you do exercise/activity G?,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4H73GI = What is the intensity of exercise/activity G?,C1PA26 = Ever had cancer,C1PA28AA = Age breast cancer diagnosed,C4H1P = Have you ever had cancer?,Family history of breast cancer,C1PA24 = High blood pressure ever diagnosed,C1PA24A = Number years ago told high blood pressure,C1PA24B = Ever taken high blood pressure medicine,C1PA24EC = High blood pressure therapy - Exercise,C4H1A = Have you ever had heart disease?,C4H1B = Have you ever had high blood pressure?,C4H1C = Have you ever had circulation problems?,C4H1D = Have you ever had blood clots?,C4H1E = Have you ever had a heart murmur?,C4H1F = Have you ever had a TIA (mini-stroke) or stroke?,C4H1H = Have you ever had cholesterol problems?,C4P1F1D = BP (sitting) 1 diastolic,C4P1F2S = BP (sitting) 2 systolic,C4P1F2D = BP (sitting) 2 diastolic,C4P1F3S = BP (sitting) 3 systolic,C4P1F3D = BP (sitting) 3 diastolic,C4P1GS = Average BP (sitting) systolic,C4P1GD = Average BP (sitting) diastolic,C4P1GS23 = Average of 2nd and 3rd systolic BPs,C4P1GD23 = Average of 2nd and 3rd diastolic BPs,C4BCHOL = Blood Total Cholesterol (mg/dL),C4BTRIGL = Blood Triglycerides (mg/dL),C4BHDL = Blood HDL Cholesterol (mg/dL),C4BLDL = Blood LDL Cholesterol (mg/dL),C4BRTHDL = Blood Ratio Total / HDL Cholesterol,Family history of stroke,Family history of circulation problems,Family history of high blood pressure,Family history of heart disease
C4H73AC = Exercise/Activity A – Coded,1.0,0.9839586970930112,0.9816203886654701,0.9861369977132296,0.9684349849082337,0.9756879093906982,0.6423583366630595,0.6444280126285955,0.6417110097192515,0.6390979194918107,0.6429821353012212,0.6458136706737158,0.4050599225862775,0.4117795317781533,0.4072268361622082,0.4071442152890143,0.4124320600511569,0.40501220101694363,0.18423547036674642,0.18468742088680468,0.1844394554201149,0.18450015015858512,0.18368222308028034,0.18276070679750683,0.10653620911348015,0.10796775895133753,0.10761770381684159,0.10737315335803847,0.10626519067664224,0.10521111956983152,0.0640800369761315,0.0642482143250529,0.06406389502481996,0.06377990744823185,0.0644057246555682,0.06236325697443424,0.04044704900501826,0.04048082628192127,0.04044042379410044,0.04052884700089727,0.040483361786061135,0.040112409755863665,0.09095291290142934,0.0003578819543694281,0.15841761691663742,0.009481433121088336,-0.11513819571162723,-0.1183307197277196,-0.11850200688461335,-0.0013850229573069753,-0.11798659218120393,-0.00819971780929871,-0.11465395755282934,-0.1268627694314016,0.021482025223894356,-0.10839012816755,-0.02327533898001519,0.09945472343387211,0.05734164182160937,0.09809301785022567,0.08578250550614103,0.12372851952233305,0.08631963839785227,0.09945667362705043,0.07446111948476732,0.11089453475890787,-0.027251743291712517,-0.007810439134445371,-0.08636313698317523,-0.01794203986896445,0.0003984745007768199,-0.15165244140314146,-0.10791744938517744,-0.06699129047821527,-0.10859861530324838
C4H73AS = Seasonal exercise/activity A?,0.9839586970930112,1.0,0.9962693950497756,0.9986453095022767,0.9846820693658189,0.9861170464852317,0.6683475809612742,0.6706256479746077,0.6712950847554778,0.671073449323224,0.6667056617429458,0.6590366952448202,0.46567061747271343,0.46512168371819873,0.4661925920314611,0.46613663499305935,0.4627168344986884,0.46488077238337466,0.1374044666874963,0.13746825449524933,0.13748999668978162,0.13753564804027518,0.13692964999734952,0.1364544823243378,0.08270464676044866,0.08277555601599952,0.08273899320424767,0.08272057216719357,0.08226103816329443,0.0818687300294889,0.05202046916687251,0.05209992824199414,0.0520972126902125,0.05208425552687206,0.051798577595501966,0.05178529332840202,0.02986184767441867,0.029848495653540794,0.029851680168679368,0.029900543268844067,0.029790473300547293,0.029763640942277583,0.16280120221816582,-0.010459414406603173,0.22715262377239928,0.05805715157290692,-0.1665382219646292,-0.17097584903375623,-0.17199179001951984,-0.02770047618791039,-0.15783169596678112,0.03902597342552885,-0.12818503543918497,-0.15798844123475375,-0.015974066366237487,-0.12317966830317191,0.02143224849853447,0.15524881824825587,0.12087101635433703,0.15776391331567116,0.1512537013472093,0.17809109895142686,0.15178651358941514,0.1551283897208354,0.14037376173448493,0.16788224225648654,-0.01606679642507941,-0.007074622398934196,-0.10190972888823438,-0.000897246464221427,0.007767934355374374,-0.2097088940857991,-0.17406942677411366,-0.10617753966073636,-0.1417010692829707
C4H73AFD = How many times per day do you do exercise/activity A?,0.9816203886654701,0.9962693950497756,1.0,0.9965875528364649,0.9865938097978454,0.98417172928486,0.664284510727452,0.6665301149904445,0.6673490618062731,0.6671234437279007,0.6632204131714302,0.6556750718999093,0.46700662581064556,0.466588316782994,0.467531871684957,0.4674479114562525,0.4644401828337774,0.4660638764771606,0.1395926502069431,0.139970277343153,0.13998702070994637,0.1399188256202116,0.13948241699468417,0.1389569846541168,0.08306280993811324,0.08337865019635263,0.08331709635291161,0.08326407781373249,0.08241547810285124,0.08230772538992087,0.054299577333188534,0.05432828154216573,0.05434028690796095,0.054321862452149816,0.054009781408924214,0.05398602465411798,0.033882724031058284,0.03388189836004115,0.03389228434843894,0.03388130782948987,0.03388318246455113,0.033791393336859536,0.1628878598941953,-0.010790359755407366,0.2274050258839608,0.05561180919880232,-0.16550168323269276,-0.17020721637461747,-0.1709921091553591,-0.02885390305267209,-0.15465023641726725,0.03698043731588434,-0.12488773733415047,-0.15424557106847064,-0.012187299314854278,-0.12145844969301836,0.024080725179735113,0.15645375114247165,0.11854366370454072,0.1571626084693285,0.15037660881914544,0.1784368646455195,0.15051212845489087,0.1548684705481059,0.13880397878994957,0.16768404984606824,-0.01639932652819643,-0.007721866756700274,-0.10185636819823299,-0.0014506862145259427,0.007071004519040713,-0.206696634108297,-0.1694008347334165,-0.10083437935087587,-0.1395264927876768
C4H73AFW = How many days per week do you do exercise/activity A?,0.9861369977132296,0.9986453095022767,0.9965875528364649,1.0,0.983853317963021,0.9865495394283323,0.6669735167779924,0.6691270748088581,0.6694832000622609,0.6691312884325716,0.6658208297553893,0.6591549085617667,0.46139944359349755,0.4617576905276019,0.4621742010136513,0.4621333711631497,0.46000618821938505,0.4608135466531798,0.1451816207638585,0.14568164674320255,0.14568493257096246,0.14563248951095542,0.14494523193038047,0.1447416902499187,0.08526290799886474,0.08545888805485276,0.08544369947201494,0.08532665465505218,0.0845811076699985,0.08468305447940874,0.05615667990874776,0.05606734280277196,0.056104499763517404,0.05613164794944832,0.05597159310292722,0.05566088045139284,0.036051212720641566,0.03604439711704449,0.03611766485127665,0.03604614086596322,0.03608707177880716,0.036203403427412593,0.15534824543726927,-0.009034547142378863,0.2193162473756488,0.050657826077967524,-0.15971337185184517,-0.16408598327395277,-0.16498883719622004,-0.027523223674094273,-0.15237065881125103,0.032714513265393604,-0.12640142608063726,-0.15313042103002186,-0.009684570083888636,-0.12171850565811582,0.01744892638981829,0.1466914121686956,0.11239630087793702,0.14942266891863817,0.14321824646719813,0.1711357958783658,0.14394405402144897,0.1470558241931196,0.13198551222231958,0.16017809601337457,-0.020189811804437616,-0.010430900356069799,-0.10262219502191428,-0.006316667337739227,0.0034676409645301,-0.20165359176237213,-0.165146751362315,-0.10026027444948742,-0.1387915556741472
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,0.9684349849082337,0.9846820693658189,0.9865938097978454,0.983853317963021,1.0,0.9711898152521653,0.660051916063534,0.6616593098741363,0.6630229341464716,0.6627316412812655,0.6607164878232857,0.6505839042705643,0.4714652053493729,0.47094777881317756,0.4719345656532379,0.47188352298657754,0.46960182573124787,0.4708788743819654,0.1378552555120653,0.13772343906084034,0.13767993642849552,0.13760193500121723,0.1375680230122309,0.1375880998723009,0.07787470651800563,0.07601059555727856,0.07637615226213305,0.07619657577819094,0.07620277838456863,0.07731653394174699,0.03222905745946317,0.033089571417892545,0.03306162965217328,0.032788881587903655,0.032060696439894135,0.03448148183671892,0.026843091000775053,0.02682040486080052,0.026552368321198127,0.026977943890936253,0.026448626029667396,0.025686239626551328,0.16583374978991652,-0.005889081760669649,0.23307411675843126,0.04919479421045736,-0.17073988638533624,-0.17640412487146928,-0.17663619906180852,-0.026935008929163718,-0.156849761967471,0.042988817424896845,-0.10751092681864559,-0.17361871684825253,-0.014206474803640635,-0.12520847026141155,0.030176854698502387,0.15871549331474166,0.11992312149399262,0.165449872758222,0.15218909322492744,0.18542565390263496,0.15244595273286107,0.15897627811349618,0.14041317797800526,0.17563687316874127,0.0007835637337239418,0.013699267286127512,-0.08392967516731317,0.01702767709781029,0.028623020996500832,-0.19678134521994692,-0.17560340766090668,-0.10343906932465385,-0.14339204413296658
C4H73AI = What is the intensity of exercise/activity A?,0.9756879093906982,0.9861170464852317,0.98417172928486,0.9865495394283323,0.9711898152521653,1.0,0.6763806788617419,0.678533639835941,0.6789775174634809,0.6786003471249529,0.6750458138259956,0.6727016952986158,0.4799202090110893,0.4801921705989439,0.4805820941767855,0.4801558667421942,0.478170256652271,0.4801725725815583,0.17703798680850294,0.1773111030157237,0.17729609012816136,0.17711141311314024,0.1757507713851303,0.17546208163121446,0.09981505889375547,0.10084931517950912,0.10049666297041292,0.10046652549939517,0.0992882402246307,0.09775149604111663,0.056900227983988826,0.05740867364205575,0.0572539455742087,0.05688160780875978,0.057354353717187403,0.05595377346806076,0.038107994643282114,0.03811639490945472,0.03788323399992631,0.038276660093331825,0.03783720457873783,0.03703055061073713,0.1577808341085784,-0.019579652216144418,0.22129571381382204,0.05525111184636653,-0.1744473163309394,-0.1784612017473894,-0.1800082480930136,-0.03810493607885905,-0.16664230166874902,0.030201434388715143,-0.12420583650393462,-0.16078314265090768,-0.01762098143899508,-0.13285353935061028,0.017170715525512296,0.14791376271687673,0.11868061892554391,0.1469260855277782,0.14620277356684025,0.17044992922136257,0.1467535330857317,0.14601803107414257,0.13679338861979687,0.1582567151996194,-0.005887857370639551,0.006806943225297037,-0.09090949331879566,0.009771987708626837,0.02142542214214854,-0.21306237601684563,-0.16300362091403453,-0.09259298257490761,-0.12843267455176569
C4H73BC = Exercise/Activity B – Coded,0.6423583366630595,0.6683475809612742,0.664284510727452,0.6669735167779924,0.660051916063534,0.6763806788617419,1.0,0.9966824881813138,0.9955382880318963,0.9944659878827201,0.9915119725992416,0.9844667740868349,0.6724016479897453,0.6749791996602291,0.6738787665104333,0.6737006085525723,0.673311726441099,0.6714591885637389,0.21919716877878226,0.21947775050271506,0.21963694330483313,0.2196111172496098,0.2186304533556719,0.2190884983201408,0.12953585060698122,0.12898641793752,0.12920589555417922,0.1290635059116983,0.12848701931209347,0.12830271165258664,0.07791209623454233,0.07812414252466708,0.07826615486883896,0.07844589981208115,0.07725961383541598,0.07861900101016382,0.049466032850128024,0.049474272662724826,0.04941965253235287,0.04945647506616987,0.04944309686260634,0.04905169589031114,0.2107670325904807,-0.053059122614005375,0.2690632077785506,0.15041495867723334,-0.22963540808647023,-0.2293669768034833,-0.2331626754112936,-0.025970252707151018,-0.19164042795777672,0.0954212733369639,-0.1497949319852083,-0.1239019125420887,-0.025017599139266645,-0.1798578397085424,0.09397020913485993,0.1939422302272535,0.18522585888735263,0.17297571023359254,0.20924702481508797,0.18799605269144992,0.21304536632218926,0.1864616422585228,0.20333397662815145,0.17979370959915547,0.024136754358343396,0.05775936195635051,-0.04425107587443579,0.06617495468676612,0.08215338191849282,-0.2635492780199633,-0.27102939220160466,-0.11640042534614098,-0.1645356575590762
C4H73BS = Seasonal exercise/activity B?,0.6444280126285955,0.6706256479746077,0.6665301149904445,0.6691270748088581,0.6616593098741363,0.678533639835941,0.9966824881813138,1.0,0.9988669556441774,0.997716286352194,0.9941090253788694,0.9853662605107455,0.6783546631947909,0.6798169218095921,0.6794345893670068,0.6793409558133557,0.6774775387915061,0.6772097689952189,0.2179050310493117,0.21824182216622268,0.21825086619192635,0.21819817050893972,0.21750828734853997,0.21683516197349673,0.13221644372847252,0.13231442216418252,0.13231154577872872,0.13229433562037515,0.13188738526060362,0.13149181280337907,0.08364725610604004,0.08384121044513253,0.08379082073144015,0.08369226531315342,0.08328115546524655,0.0831998866521751,0.05002706462603962,0.05003787085270205,0.04998605791884026,0.05005754616244564,0.04999496677219464,0.049620444818638386,0.21734923228163971,-0.05901001852921952,0.2775511179340493,0.15150703492443687,-0.23266812776418253,-0.23308575181464705,-0.23700804112468277,-0.031612562362001134,-0.19366797081694442,0.10048212180327663,-0.14971730092697932,-0.12092624879275014,-0.02272853090173609,-0.1783598057871415,0.09843993852153253,0.19859283417091794,0.1912701314024877,0.1782510277783295,0.21569193088144586,0.19409351242296066,0.2191217804681996,0.19336491042835893,0.20976669136800896,0.18553528519649432,0.025554220648536876,0.05598471890850163,-0.046687784835631324,0.06781970519834797,0.0811229039232184,-0.26476922529937214,-0.2837108677446843,-0.11242782215069132,-0.16613952867915724
C4H73BFD = How many times per day do you do exercise/activity B?,0.6417110097192515,0.6712950847554778,0.6673490618062731,0.6694832000622609,0.6630229341464716,0.6789775174634809,0.9955382880318963,0.9988669556441774,1.0,0.9995106391968099,0.9933983240338738,0.9830086835162435,0.6930682578484325,0.6927873943835692,0.6940330264994772,0.6939143767807157,0.6896831870260823,0.6919317257347366,0.21049327763907152,0.21086318706219653,0.21091040343362202,0.21087468735100878,0.21004578373914254,0.20973673875376422,0.1271490504088995,0.12730465987848483,0.127351081126333,0.12732372382466767,0.12615918639049892,0.12638587263689244,0.0803939435265085,0.08043644191542396,0.08045421661547054,0.08042693804844071,0.0799648824119706,0.07992970904049874,0.050165506548284645,0.05016428409035098,0.050179661200186666,0.05016340977268347,0.050166185287939195,0.05003028570436172,0.23763312798375338,-0.061997231344871534,0.2966582432262385,0.16158434441551695,-0.24406580344701131,-0.24463647235711344,-0.2486706709467552,-0.038039678304648564,-0.19928981279212224,0.11524120950181818,-0.15188736672080047,-0.12489988636246356,-0.03219682785524514,-0.18211167024813593,0.11567707978032084,0.21494873072419268,0.2059762722984007,0.1941812578834176,0.2313087754120668,0.20857119229692841,0.23456064659985115,0.2088003349422057,0.22531576660553204,0.2007508145211413,0.02906233376658704,0.055980642991566416,-0.05045160419442867,0.07208448322868517,0.08234859759557918,-0.2788338058473078,-0.3037055690760054,-0.12246469256501781,-0.17769016602142654
C4H73BFW = How many days per week do you do exercise/activity B?,0.6390979194918107,0.671073449323224,0.6671234437279007,0.6691312884325716,0.6627316412812655,0.6786003471249529,0.9944659878827201,0.997716286352194,0.9995106391968099,1.0,0.9917649812267993,0.9805995597550194,0.7030952564027764,0.7019389048361315,0.7040058125501346,0.7039620110933821,0.6984859606684787,0.7020056728703731,0.20461533232245524,0.20499846067438623,0.20505399907464164,0.20504463738663245,0.20406261521548769,0.2038568829951015,0.12401592407891125,0.12420301686025274,0.12428687101675866,0.12424462834873887,0.12299229574109537,0.12327484724244449,0.07808411637550351,0.0780761475257624,0.07810799355664898,0.07811059528564063,0.0776609593116707,0.07759985977573686,0.049815778363113676,0.04981287143325768,0.049832286014125454,0.04982790126287355,0.049806595848493354,0.04969872272764407,0.24990356330944175,-0.06286927224744657,0.3082401471490983,0.1676580949270022,-0.25203846273070474,-0.25280411271155245,-0.25697007160993557,-0.04235522503744616,-0.20320188979396395,0.12291444058528424,-0.15512449754477853,-0.12866732348146306,-0.03745467860063827,-0.18348697316783247,0.12420821860620018,0.2225676541152966,0.21474100093225368,0.20361896891637263,0.24038783088676013,0.2167683262720429,0.24370922823918825,0.21730934206337,0.23444683432325614,0.20957572839743524,0.03164260650483001,0.05640315428139308,-0.052319738561847726,0.07489314025584982,0.08342081011610905,-0.28677258292150176,-0.3139379662924791,-0.12846299015614032,-0.1831771413390888
