Variable 1,Variable 2,Correlation,P-value
C4H73GC = Exercise/Activity G – Coded,C4H73GS = Seasonal exercise/activity G?,1.0,0.0
C4H73GS = Seasonal exercise/activity G?,C4H73GC = Exercise/Activity G – Coded,1.0,0.0
C4H73GC = Exercise/Activity G – Coded,C4H73GFW = How many days per week do you do exercise/activity G?,0.9999985950892946,0.0
C4H73GFW = How many days per week do you do exercise/activity G?,C4H73GS = Seasonal exercise/activity G?,0.9999985950892946,0.0
C4H73GFW = How many days per week do you do exercise/activity G?,C4H73GC = Exercise/Activity G – Coded,0.9999985950892946,0.0
C4H73GS = Seasonal exercise/activity G?,C4H73GFW = How many days per week do you do exercise/activity G?,0.9999985950892946,0.0
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4H73GFD = How many times per day do you do exercise/activity G?,0.9999978986322655,0.0
C4H73GFD = How many times per day do you do exercise/activity G?,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,0.9999978986322655,0.0
C4H73GFD = How many times per day do you do exercise/activity G?,C4H73GFW = How many days per week do you do exercise/activity G?,0.9999972722655998,0.0
C4H73GFW = How many days per week do you do exercise/activity G?,C4H73GFD = How many times per day do you do exercise/activity G?,0.9999972722655998,0.0
C4H73GI = What is the intensity of exercise/activity G?,C4H73GFD = How many times per day do you do exercise/activity G?,0.9999971974480565,0.0
C4H73GFD = How many times per day do you do exercise/activity G?,C4H73GI = What is the intensity of exercise/activity G?,0.9999971974480565,0.0
C4H73GS = Seasonal exercise/activity G?,C4H73GFD = How many times per day do you do exercise/activity G?,0.9999969605259467,0.0
C4H73GFD = How many times per day do you do exercise/activity G?,C4H73GS = Seasonal exercise/activity G?,0.9999969605259467,0.0
C4H73GFD = How many times per day do you do exercise/activity G?,C4H73GC = Exercise/Activity G – Coded,0.9999969605259467,0.0
C4H73GC = Exercise/Activity G – Coded,C4H73GFD = How many times per day do you do exercise/activity G?,0.9999969605259467,0.0
C4H73GS = Seasonal exercise/activity G?,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,0.9999969194245598,0.0
C4H73GC = Exercise/Activity G – Coded,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,0.9999969194245598,0.0
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4H73GC = Exercise/Activity G – Coded,0.9999969194245598,0.0
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4H73GS = Seasonal exercise/activity G?,0.9999969194245598,0.0
C4H73GFW = How many days per week do you do exercise/activity G?,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,0.9999958622755144,0.0
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4H73GFW = How many days per week do you do exercise/activity G?,0.9999958622755144,0.0
C4H73GI = What is the intensity of exercise/activity G?,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,0.9999921897380821,0.0
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4H73GI = What is the intensity of exercise/activity G?,0.9999921897380821,0.0
C4H73GFW = How many days per week do you do exercise/activity G?,C4H73GI = What is the intensity of exercise/activity G?,0.9999901102018379,0.0
C4H73GI = What is the intensity of exercise/activity G?,C4H73GFW = How many days per week do you do exercise/activity G?,0.9999901102018379,0.0
C4H73GI = What is the intensity of exercise/activity G?,C4H73GC = Exercise/Activity G – Coded,0.9999885528878169,0.0
C4H73GI = What is the intensity of exercise/activity G?,C4H73GS = Seasonal exercise/activity G?,0.9999885528878169,0.0
C4H73GS = Seasonal exercise/activity G?,C4H73GI = What is the intensity of exercise/activity G?,0.9999885528878169,0.0
C4H73GC = Exercise/Activity G – Coded,C4H73GI = What is the intensity of exercise/activity G?,0.9999885528878169,0.0
C4H73FI = What is the intensity of exercise/activity F?,C4H73FFW = How many days per week do you do exercise/activity F?,0.9999880132170194,0.0
